Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.00029951255,-5.103811568266517,102.05813953488372,2.6229181,-5.10381157843526
20000,1.4200143,0.0002985012,-5.114129469285465,112.27272727272727,2.0644763,-5.114129441705617
30000,1.420117,0.00029750293,-4.941781999337343,131.94871794871796,1.4108578,-4.941782021274169
40000,1.421373,0.00029649993,-4.915272414572942,130.46376811594203,1.2633835,-4.9152724122007685
50000,1.422152,0.00029549596,-4.953290877390166,121.76136363636364,0.8928827,-4.953290885145014
60000,1.4228992,0.00029450448,-5.101806834599688,100.17241379310344,0.7239753,-5.101806846500813
70000,1.4232354,0.00029349816,-5.146449272605506,144.03896103896105,-0.067416154,-5.146449290603012
80000,1.4230591,0.00029249903,-5.106276548814345,104.44680851063829,-0.4620173,-5.106276541155704
90000,1.4228375,0.00029149782,-5.097469337876145,95.76530612244898,-0.68879336,-5.097469324512141
100000,1.4227861,0.00029049508,-4.94396545713093,114.47126436781609,-1.2573477,-4.941869741522296
110000,1.4226375,0.00028949443,-5.050378883100041,101.29473684210527,-1.6874588,-5.0511478633852676
120000,1.4215454,0.00028849792,-4.936564948153682,122.1375,-1.5248144,-4.936564958374947
130000,1.4208039,0.00028750286,-5.124985323171131,122.9390243902439,-1.8527106,-5.12558761285043
140000,1.4202303,0.0002864976,-5.100455264206678,98.80851063829788,-2.305675,-5.10019992715434
150000,1.4190117,0.00028549574,-4.946847574488769,123.33333333333333,-2.1005845,-4.946847582590722
160000,1.4173397,0.00028449926,-5.110486300955844,108.68181818181819,-2.3829324,-5.109620623633094
170000,1.4163945,0.00028349846,-4.915904436910303,137.53731343283582,-1.8722013,-4.919873498818454
180000,1.4163374,0.00028249712,-4.739234609842922,136.97333333333333,-2.00009,-4.7392346101999285
190000,1.4166127,0.00028149603,-4.766161865091861,121.20238095238095,-2.4388645,-4.76616188795084
200000,1.4164476,0.0002804933,-5.12254608869075,120.58974358974359,-2.2838664,-5.122546091102636
210000,1.4155514,0.00027949718,-4.868632886812232,119.89873417721519,-2.4077723,-4.868632877457745
220000,1.4149339,0.00027850675,-4.923397012253511,141.64705882352942,-2.3377404,-4.915044773981642
230000,1.4146681,0.00027750467,-5.155642536739803,153.13114754098362,-2.078414,-5.160922522626577
240000,1.4139155,0.00027650257,-4.721269143614336,198.82692307692307,-1.9129107,-4.721269145393028
250000,1.4130057,0.00027550053,-4.91376868613952,145.8125,-2.1054878,-4.90534914190334
260000,1.4122535,0.00027449764,-4.242653795876182,200.96153846153845,-2.0240486,-4.250357662399228
270000,1.4113582,0.00027349775,-4.607145986534075,160.0952380952381,-2.146418,-4.613965590135194
280000,1.4110025,0.00027250234,-4.908530399699331,123.84057971014492,-2.37599,-4.906244091689587
290000,1.4108641,0.00027149776,-4.379189225383535,179.85714285714286,-1.7718257,-4.391203455888388
300000,1.4103389,0.00027050302,-4.6313713699956205,223.04761904761904,-1.4016321,-4.6313714150871546
310000,1.4098346,0.00026950138,-3.146158449566497,218.11320754716982,-1.4216723,-3.1461585051608534
320000,1.4094174,0.00026849812,-4.559387152623187,194.48936170212767,-1.9010125,-4.559387202909652
330000,1.4091468,0.00026749694,-3.3964999797102062,193.38,-1.6666123,-3.3965000419318674
340000,1.4087256,0.00026649784,-3.337589950508118,168.26666666666668,-1.713654,-3.3375899666299422
350000,1.408999,0.00026550022,-4.608948070314471,161.96296296296296,-2.038465,-4.608948114017646
360000,1.4093482,0.0002645009,-4.618126917940875,170.984126984127,-2.1091633,-4.618126899122246
370000,1.4093684,0.00026350183,-5.0107471123483265,196.24528301886792,-2.1222465,-5.010747117956854
380000,1.408697,0.00026250124,-3.8548448693330344,178.6122448979592,-1.7419972,-3.8290707878768444
390000,1.4092349,0.0002614995,-5.010165187418866,223.8695652173913,-1.9453506,-5.011906369014623
400000,1.4080366,0.0002604966,-4.583033260030788,204.79166666666666,-1.7482132,-4.5830332855694
410000,1.4075967,0.0002595058,-4.43694682131536,137.828125,-2.1007326,-4.436946823028848
420000,1.4068947,0.00025850203,-3.754539964814467,250.525,-1.5225356,-3.7545399954542518
430000,1.4067539,0.00025749888,-4.371524938083439,150.34375,-2.1958811,-4.360622172672597
440000,1.4060543,0.00025649517,-3.542673131138677,246.0731707317073,-1.4673681,-3.578761858510829
450000,1.40557,0.00025549662,-4.566022168508628,228.84444444444443,-1.9244565,-4.566022173729208
460000,1.4052553,0.00025449778,-3.962173112855317,153.71641791044777,-1.8772091,-3.9455181635690457
470000,1.4046745,0.0002534985,-4.200086216638025,177.50980392156862,-1.8762586,-4.216650001561413
480000,1.4048941,0.00025249724,-4.620583943887613,216.96,-1.8052331,-4.620583976954221
490000,1.4050242,0.0002515079,-4.717430956304257,137.69014084507043,-2.2525008,-4.711759970443589
500000,1.4046575,0.00025050508,-3.8743610696753117,259.1666666666667,-1.4812019,-3.907875623251941
510000,1.4042668,0.0002494922,-4.205119933121605,201.84,-1.8973615,-4.205119948610664
520000,1.4038547,0.00024849921,-4.523685668590458,146.28571428571428,-1.8346838,-4.5236857041184395
530000,1.4039366,0.00024749906,-3.428727248453056,242.9318181818182,-1.4548739,-3.4287272805178706
540000,1.4040271,0.00024649934,-4.32110454685395,164.58461538461538,-1.9215511,-4.321104569561206
550000,1.403944,0.0002455046,-4.431460348026001,183.16981132075472,-1.8164464,-4.431460400094402
560000,1.4034041,0.00024450783,-3.878195595517552,179.56521739130434,-1.565419,-3.878195669825958
570000,1.4029791,0.00024350084,-4.448484376551156,222.6888888888889,-1.6626652,-4.448484455049038
580000,1.4029734,0.00024250241,-4.422407788782627,203.4313725490196,-1.6572831,-4.422407780792199
590000,1.4025491,0.00024149811,-4.499288196336505,158.47058823529412,-2.018444,-4.499288209768779
600000,1.4019791,0.0002404993,-3.4409114703780315,159.59016393442624,-1.5213985,-3.4409115420746024
610000,1.4014666,0.00023950147,-4.359507091426557,160.5,-1.6915736,-4.359507051961763
620000,1.400808,0.00023850214,-3.834474234141609,258.8857142857143,-1.1016686,-3.8344742526965483
630000,1.4005677,0.00023750211,-3.758292433560553,173.52238805970148,-1.8158159,-3.7582924229217998
640000,1.4006361,0.00023649835,-4.303902720046204,134.91666666666666,-2.1213837,-4.303902721342941
650000,1.4009346,0.0002354972,-3.858663582782769,218.70454545454547,-1.4906416,-3.8304418349681897
660000,1.4008701,0.00023449854,-4.528715534860061,192.26666666666668,-1.6162038,-4.540530432663534
670000,1.4008373,0.00023348983,-3.9670576589056648,213.51923076923077,-1.590669,-3.9670576862990856
680000,1.4010705,0.00023250013,-4.227351482332751,283.3636363636364,-1.1694354,-4.227351514679013
690000,1.401205,0.00023150464,-3.2120807888899665,229.5531914893617,-1.2888825,-3.2120807984090867
700000,1.4008657,0.00023049551,-3.74823380330076,130.8153846153846,-1.7677413,-3.7482338022727233
710000,1.4004341,0.00022949756,-3.9972961629546377,134.31645569620252,-1.8899658,-3.99729617637924
720000,1.4005708,0.00022850007,-3.317021028334765,156.6140350877193,-1.5647429,-3.28602144587785
730000,1.4001144,0.00022749731,-4.062315338389733,212.75,-1.3262231,-4.081007516187317
740000,1.3993367,0.00022650172,-3.9604603168881334,183.8490566037736,-1.8274363,-3.9604603421856774
750000,1.3990225,0.00022550148,-4.180364501944203,145.66129032258064,-1.8926044,-4.180364514791196
