Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189383,0.0002970112,3.153342,-0.8114341158556807,57.688235294117646,-0.8100213028005594
20000,1.4199815,0.00029100684,2.514461,-0.7452728298648847,56.57225433526011,-0.7452716837297975
30000,1.4204593,0.00028500974,2.2549627,-0.9535574691260404,56.160919540229884,-0.9535344835242321
40000,1.4208508,0.0002790122,1.8281504,-0.7341843360883509,58.644578313253014,-0.7361017979993791
50000,1.420707,0.00027300513,1.3601875,-0.8139581409090761,57.28488372093023,-0.8476152100235398
60000,1.4209824,0.00026700358,0.9917418,-0.8818999925272211,57.56470588235294,-0.8466364688733045
70000,1.4211955,0.00026100292,0.666615,-0.91632738073046,58.29761904761905,-0.916288100626497
80000,1.4213591,0.00025499918,0.42505646,-0.8798838261316926,58.604790419161674,-0.8799341231763006
90000,1.4213642,0.00024899904,0.17257524,-0.9126484416517782,60.73913043478261,-0.9126298125393643
100000,1.4209919,0.00024300459,-0.0032020067,-0.8737283023908945,61.44654088050314,-0.8735371119571183
110000,1.420512,0.00023699999,-0.08266752,-0.7717784393709822,58.40119760479042,-0.7736428505519316
120000,1.4196663,0.00023099303,-0.16173773,-0.666282141335874,58.226190476190474,-0.6662821441977507
130000,1.4186885,0.00022500478,-0.39965466,-0.9165869819636859,57.77514792899408,-0.916586987145201
140000,1.4182729,0.00021901185,-0.45089313,-0.9529341182123651,58.0,-0.9522852146413905
150000,1.4177557,0.00021300981,-0.43649516,-0.7786441849501327,56.91279069767442,-0.7785546515396861
160000,1.4168879,0.00020701149,-0.4609921,-0.6983734922194629,58.94578313253012,-0.6985156585024782
170000,1.4163648,0.00020100192,-0.54026914,-0.919405712022313,55.73714285714286,-0.9201727291907776
180000,1.4161692,0.00019498731,-0.54752374,-0.7542234662615865,55.1731843575419,-0.7862033798369799
190000,1.4159371,0.00018898338,-0.57205343,-0.7896508309316117,54.07734806629834,-0.7565116022008559
200000,1.4154694,0.00018298294,-0.48572806,-0.817457946533316,55.34659090909091,-0.8188282434465521
210000,1.4148167,0.00017699321,-0.4520507,-0.5816338908461338,55.451977401129945,-0.5789386402307586
220000,1.4145465,0.00017100046,-0.5154368,-0.7874301660301257,54.8268156424581,-0.7875072624763297
230000,1.4149054,0.00016499398,-0.49230957,-0.820849160021223,54.6927374301676,-0.8207921803663563
240000,1.415352,0.00015900537,-0.50742817,-0.6365181316719636,56.69005847953216,-0.6389360569937285
250000,1.4153659,0.00015300002,-0.5128083,-0.7502261338681406,56.24431818181818,-0.7484777143597603
260000,1.4149561,0.00014700212,-0.504266,-0.679358852503023,55.68,-0.679401153070586
270000,1.4146379,0.00014100243,-0.4532605,-0.547502825215543,55.259887005649716,-0.5503191139674588
280000,1.4145672,0.00013499506,-0.51764774,-0.6063930606267636,56.433526011560694,-0.6063930681675156
290000,1.4145374,0.00012900565,-0.43739364,-0.4742091389372945,56.22857142857143,-0.4708264427280974
300000,1.4143672,0.00012299651,-0.47160104,-0.6451908521407417,55.84,-0.6475636383349245
310000,1.4141189,0.00011699898,-0.48151955,-0.6433770099170399,56.36206896551724,-0.6410566629529688
320000,1.4138627,0.00011100765,-0.37807757,-0.41207004817318443,55.3728813559322,-0.41203277263432575
330000,1.4140499,0.00010500265,-0.46333733,-0.715620452171689,55.65340909090909,-0.7497488655657931
340000,1.4140749,9.899164e-05,-0.4371823,-0.6868536282257911,54.83798882681564,-0.6532793366376248
350000,1.4139004,9.298736e-05,-0.50152916,-0.6531910567515785,54.659217877094974,-0.6867653618894476
360000,1.4137671,8.699668e-05,-0.39992958,-0.31754412999839715,54.212290502793294,-0.28825111269123027
370000,1.4133568,8.099721e-05,-0.41965064,-0.5556233266614274,54.861111111111114,-0.5528268180579446
380000,1.413357,7.500087e-05,-0.34792817,-0.4015608600760891,53.02173913043478,-0.40156848250847793
390000,1.4134928,6.9004935e-05,-0.34146824,-0.5718962471810155,52.470588235294116,-0.5720085558645865
400000,1.4133244,6.2999745e-05,-0.31314322,-0.5153757815433078,51.48421052631579,-0.5152642140655141
410000,1.4132107,5.6994628e-05,-0.3575098,-0.4839105160110385,51.60526315789474,-0.48388526863173437
420000,1.4131424,5.0989736e-05,-0.48748595,-0.69328524676518,53.14207650273224,-0.6952771823043409
430000,1.4130611,4.499476e-05,-0.4148961,-0.4757775357665424,52.61497326203209,-0.5049279636993844
440000,1.4130303,3.900355e-05,-0.29767016,-0.3016187556507551,50.911458333333336,-0.27039377701779205
450000,1.4129194,3.300643e-05,-0.3969031,-0.5469389488969586,51.536842105263155,-0.546921052273951
460000,1.4128336,2.7006095e-05,-0.4166498,-0.48111639644768306,51.84656084656085,-0.4810973606885426
470000,1.412757,2.0996977e-05,-0.4220138,-0.38269786722091165,52.202127659574465,-0.38271807510643563
480000,1.4127115,1.5000073e-05,-0.41283438,-0.5537834180340441,50.53367875647668,-0.5538072494567985
490000,1.412684,9.00994e-06,-0.4245579,-0.44123959263933227,49.71573604060914,-0.4412731046830942
500000,1.4126776,2.9991602e-06,-0.45939034,-0.7065350784876272,51.41884816753927,-0.7064555033417272
